Agency,Site ID,Date,Discharge (ft3/s),Data Quality,Column1,Discharge (m3/s)
USGS,11395200,10/22/2000 0:00,34,A,0.028317,0.962778
USGS,11395200,10/23/2000 0:00,35,A,0.028317,0.991095
USGS,11395200,10/24/2000 0:00,35,A,0.028317,0.991095
USGS,11395200,10/25/2000 0:00,35,A,0.028317,0.991095
USGS,11395200,10/26/2000 0:00,35,A,0.028317,0.991095
USGS,11395200,10/27/2000 0:00,22,A,0.028317,0.622974
USGS,11395200,10/28/2000 0:00,11,A,0.028317,0.311487
USGS,11395200,10/29/2000 0:00,11,A,0.028317,0.311487
USGS,11395200,10/30/2000 0:00,11,A,0.028317,0.311487
USGS,11395200,10/31/2000 0:00,11,A,0.028317,0.311487
USGS,11395200,11/1/2000 0:00,8.3,A,0.028317,0.2350311
USGS,11395200,11/2/2000 0:00,6,A,0.028317,0.169902
USGS,11395200,11/3/2000 0:00,5.8,A,0.028317,0.1642386
USGS,11395200,11/4/2000 0:00,5.6,A,0.028317,0.1585752
USGS,11395200,11/5/2000 0:00,5.6,A,0.028317,0.1585752
USGS,11395200,11/6/2000 0:00,5.6,A,0.028317,0.1585752
USGS,11395200,11/7/2000 0:00,5.4,A,0.028317,0.1529118
USGS,11395200,11/8/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/9/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/10/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/11/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/12/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/13/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/14/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/15/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/16/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/17/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/18/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/19/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/20/2000 0:00,5.3,A,0.028317,0.1500801
USGS,11395200,11/21/2000 0:00,5.4,A,0.028317,0.1529118
USGS,11395200,11/22/2000 0:00,5.6,A,0.028317,0.1585752
USGS,11395200,11/23/2000 0:00,5.6,A,0.028317,0.1585752
USGS,11395200,11/24/2000 0:00,5.6,A,0.028317,0.1585752
USGS,11395200,11/25/2000 0:00,5.6,A,0.028317,0.1585752
USGS,11395200,11/26/2000 0:00,5.6,A,0.028317,0.1585752
USGS,11395200,11/27/2000 0:00,5.6,A,0.028317,0.1585752
USGS,11395200,11/28/2000 0:00,5.6,A,0.028317,0.1585752
USGS,11395200,11/29/2000 0:00,5.9,A,0.028317,0.1670703
USGS,11395200,11/30/2000 0:00,6,A,0.028317,0.169902
USGS,11395200,12/1/2000 0:00,6,A,0.028317,0.169902
USGS,11395200,12/2/2000 0:00,6,A,0.028317,0.169902
USGS,11395200,12/3/2000 0:00,6,A,0.028317,0.169902
USGS,11395200,12/4/2000 0:00,6,A,0.028317,0.169902
