Agency,Site ID,Date,Discharge (ft3/s),Data Quality,Dishcarge (m3/s)
USGS,11395030,10/22/2000 0:00,195,A,5.521815
USGS,11395030,10/23/2000 0:00,195,A,5.521815
USGS,11395030,10/24/2000 0:00,194,A,5.493498
USGS,11395030,10/25/2000 0:00,194,A,5.493498
USGS,11395030,10/26/2000 0:00,194,A,5.493498
USGS,11395030,10/27/2000 0:00,194,A,5.493498
USGS,11395030,10/28/2000 0:00,194,A,5.493498
USGS,11395030,10/29/2000 0:00,193,A,5.465181
USGS,11395030,10/30/2000 0:00,193,A,5.465181
USGS,11395030,10/31/2000 0:00,244,A,6.909348
USGS,11395030,11/1/2000 0:00,304,A,8.608368
USGS,11395030,11/2/2000 0:00,317,A,8.976489
USGS,11395030,11/3/2000 0:00,316,A,8.948172
USGS,11395030,11/4/2000 0:00,315,A,8.919855
USGS,11395030,11/5/2000 0:00,314,A,8.891538
USGS,11395030,11/6/2000 0:00,174,A,4.927158
USGS,11395030,11/7/2000 0:00,15,A,0.424755
USGS,11395030,11/8/2000 0:00,15,A,0.424755
USGS,11395030,11/9/2000 0:00,15,A,0.424755
USGS,11395030,11/10/2000 0:00,15,A,0.424755
USGS,11395030,11/11/2000 0:00,15,A,0.424755
USGS,11395030,11/12/2000 0:00,15,A,0.424755
USGS,11395030,11/13/2000 0:00,15,A,0.424755
USGS,11395030,11/14/2000 0:00,15,A,0.424755
USGS,11395030,11/15/2000 0:00,15,A,0.424755
USGS,11395030,11/16/2000 0:00,15,A,0.424755
USGS,11395030,11/17/2000 0:00,15,A,0.424755
USGS,11395030,11/18/2000 0:00,15,A,0.424755
USGS,11395030,11/19/2000 0:00,15,A,0.424755
USGS,11395030,11/20/2000 0:00,15,A,0.424755
USGS,11395030,11/21/2000 0:00,146,A,4.134282
USGS,11395030,11/22/2000 0:00,236,A,6.682812
USGS,11395030,11/23/2000 0:00,236,A,6.682812
USGS,11395030,11/24/2000 0:00,236,A,6.682812
USGS,11395030,11/25/2000 0:00,235,A,6.654495
USGS,11395030,11/26/2000 0:00,235,A,6.654495
USGS,11395030,11/27/2000 0:00,235,A,6.654495
USGS,11395030,11/28/2000 0:00,234,A,6.626178
USGS,11395030,11/29/2000 0:00,235,A,6.654495
USGS,11395030,11/30/2000 0:00,234,A,6.626178
USGS,11395030,12/1/2000 0:00,234,A,6.626178
USGS,11395030,12/2/2000 0:00,232,A,6.569544
USGS,11395030,12/3/2000 0:00,233,A,6.597861
USGS,11395030,12/4/2000 0:00,232,A,6.569544
USGS,11395030,12/5/2000 0:00,232,A,6.569544
USGS,11395030,12/6/2000 0:00,231,A,6.541227
USGS,11395030,12/7/2000 0:00,231,A,6.541227
USGS,11395030,12/8/2000 0:00,135,A,3.822795
USGS,11395030,12/9/2000 0:00,20,A,0.56634
USGS,11395030,12/10/2000 0:00,21,A,0.594657
USGS,11395030,12/11/2000 0:00,21,A,0.594657
USGS,11395030,12/12/2000 0:00,21,A,0.594657
USGS,11395030,12/13/2000 0:00,21,A,0.594657
USGS,11395030,12/14/2000 0:00,21,A,0.594657
USGS,11395030,12/15/2000 0:00,21,A,0.594657
USGS,11395030,12/16/2000 0:00,21,A,0.594657
USGS,11395030,12/17/2000 0:00,20,A,0.56634
USGS,11395030,12/18/2000 0:00,20,A,0.56634
USGS,11395030,12/19/2000 0:00,20,A,0.56634
USGS,11395030,12/20/2000 0:00,20,A,0.56634
USGS,11395030,12/21/2000 0:00,20,A,0.56634
USGS,11395030,12/22/2000 0:00,21,A,0.594657
USGS,11395030,12/23/2000 0:00,21,A,0.594657
USGS,11395030,12/24/2000 0:00,20,A,0.56634
USGS,11395030,12/25/2000 0:00,20,A,0.56634
USGS,11395030,12/26/2000 0:00,20,A,0.56634
USGS,11395030,12/27/2000 0:00,20,A,0.56634
USGS,11395030,12/28/2000 0:00,20,A,0.56634
USGS,11395030,12/29/2000 0:00,20,A,0.56634
USGS,11395030,12/30/2000 0:00,20,A,0.56634
USGS,11395030,12/31/2000 0:00,20,A,0.56634
USGS,11395030,1/1/2001 0:00,20,A,0.56634
USGS,11395030,1/2/2001 0:00,20,A,0.56634
USGS,11395030,1/3/2001 0:00,20,A,0.56634
USGS,11395030,1/4/2001 0:00,20,A,0.56634
USGS,11395030,1/5/2001 0:00,20,A,0.56634
USGS,11395030,1/6/2001 0:00,20,A,0.56634
USGS,11395030,1/7/2001 0:00,20,A,0.56634
USGS,11395030,1/8/2001 0:00,19,A,0.538023
USGS,11395030,1/9/2001 0:00,19,A,0.538023
USGS,11395030,1/10/2001 0:00,19,A,0.538023
USGS,11395030,1/11/2001 0:00,19,A,0.538023
USGS,11395030,1/12/2001 0:00,19,A,0.538023
USGS,11395030,1/13/2001 0:00,19,A,0.538023
USGS,11395030,1/14/2001 0:00,19,A,0.538023
USGS,11395030,1/15/2001 0:00,19,A,0.538023
USGS,11395030,1/16/2001 0:00,19,A,0.538023
USGS,11395030,1/17/2001 0:00,19,A,0.538023
USGS,11395030,1/18/2001 0:00,19,A,0.538023
USGS,11395030,1/19/2001 0:00,19,A,0.538023
USGS,11395030,1/20/2001 0:00,19,A,0.538023
USGS,11395030,1/21/2001 0:00,19,A,0.538023
USGS,11395030,1/22/2001 0:00,19,A,0.538023
USGS,11395030,1/23/2001 0:00,19,A,0.538023
USGS,11395030,1/24/2001 0:00,19,A,0.538023
USGS,11395030,1/25/2001 0:00,19,A,0.538023
USGS,11395030,1/26/2001 0:00,19,A,0.538023
USGS,11395030,1/27/2001 0:00,19,A,0.538023
USGS,11395030,1/28/2001 0:00,19,A,0.538023
USGS,11395030,1/29/2001 0:00,19,A,0.538023
USGS,11395030,1/30/2001 0:00,20,A,0.56634
USGS,11395030,1/31/2001 0:00,20,A,0.56634
USGS,11395030,2/1/2001 0:00,20,A,0.56634
USGS,11395030,2/2/2001 0:00,20,A,0.56634
USGS,11395030,2/3/2001 0:00,20,A,0.56634
USGS,11395030,2/4/2001 0:00,20,A,0.56634
USGS,11395030,2/5/2001 0:00,20,A,0.56634
USGS,11395030,2/6/2001 0:00,20,A,0.56634
USGS,11395030,2/7/2001 0:00,20,A,0.56634
USGS,11395030,2/8/2001 0:00,20,A,0.56634
USGS,11395030,2/9/2001 0:00,20,A,0.56634
USGS,11395030,2/10/2001 0:00,20,A,0.56634
USGS,11395030,2/11/2001 0:00,20,A,0.56634
USGS,11395030,2/12/2001 0:00,20,A,0.56634
USGS,11395030,2/13/2001 0:00,20,A,0.56634
USGS,11395030,2/14/2001 0:00,20,A,0.56634
USGS,11395030,2/15/2001 0:00,20,A,0.56634
USGS,11395030,2/16/2001 0:00,20,A,0.56634
USGS,11395030,2/17/2001 0:00,20,A,0.56634
USGS,11395030,2/18/2001 0:00,20,A,0.56634
USGS,11395030,2/19/2001 0:00,20,A,0.56634
USGS,11395030,2/20/2001 0:00,20,A,0.56634
USGS,11395030,2/21/2001 0:00,20,A,0.56634
USGS,11395030,2/22/2001 0:00,20,A,0.56634
USGS,11395030,2/23/2001 0:00,20,A,0.56634
USGS,11395030,2/24/2001 0:00,20,A,0.56634
USGS,11395030,2/25/2001 0:00,20,A,0.56634
USGS,11395030,2/26/2001 0:00,20,A,0.56634
USGS,11395030,2/27/2001 0:00,20,A,0.56634
USGS,11395030,2/28/2001 0:00,20,A,0.56634
USGS,11395030,3/1/2001 0:00,20,A,0.56634
USGS,11395030,3/2/2001 0:00,20,A,0.56634
USGS,11395030,3/3/2001 0:00,20,A,0.56634
USGS,11395030,3/4/2001 0:00,20,A,0.56634
USGS,11395030,3/5/2001 0:00,20,A,0.56634
USGS,11395030,3/6/2001 0:00,20,A,0.56634
USGS,11395030,3/7/2001 0:00,20,A,0.56634
USGS,11395030,3/8/2001 0:00,20,A,0.56634
USGS,11395030,3/9/2001 0:00,20,A,0.56634
USGS,11395030,3/10/2001 0:00,20,A,0.56634
