INPUT_ID,MODEL_ID,INPUT_TYPE,WATERSHED,SHG,URBAN,CROPLAND,PASTURELAND,FOREST,USER_DEFINED,FEEDLOTS,TOTAL,FEEDLOT_PERC,ANNUAL_RAINFALL,RAIN_DAYS,AVG_RAIN
128785,53262,,180201230101 - Lookout Creek-Little Last Chance Creek,B,0,0,620.7,22792.1,0,0.0543,23412.8543,1,18.207,93.2,0.54929818
128803,53262,,180201230405 - Jamison Creek,B,0,0,1789.17,30203.18,0,0.0115,31992.3615,1,50.359,122.033,0.819026992
128813,53262,,180201230601 - Little Grass Valley Reservoir-South Fork Feather River,B,0,0,19.57,13361.69,0,0.0011,13381.2611,1,75.576,113.267,1.089251107
128817,53262,,180201230605 - Sucker Run,B,0,0,301.79,12005.08,0,0.0149,12306.8849,1,65.787,101.567,1.058388201
128822,53262,,180201230704 - Fall River,B,0,0,5.78,20978.47,0,0.0098,20984.2598,1,78.434,111.9,1.155325013
128823,53262,,180201230705 - Brush Creek-Middle Fork Feather River,B,0,0,171.91,21439.72,0,0.012,21611.642,1,70.931,118.8,1.082749498
128824,53262,,180201230706 - Frey Creek-Middle Fork Feather River,B,0,0,533.97,20386.45,0,0.1229,20920.5429,1,58.168,103.833,0.986383617
128809,53262,,180201230505 - Washington Creek-Middle Fork Feather River,B,20.9,0,9.78,12596.43,0,0.0006,12627.1106,1,61.198,116.233,0.948532105
128810,53262,,180201230506 - Onion Valley Creek,B,42.26,0,48.7,12271.28,0,0.004,12362.244,1,69.591,118.2,1.038012586
128811,53262,,180201230507 - Bear Creek,B,42.26,0,11.56,13817.15,0,0.004,13870.974,1,75.871,122.167,1.096637843
128812,53262,,180201230508 - Dogwood Creek-Middle Fork Feather River,B,48.92,0,19.57,13361.69,0,0.0017,13430.1817,1,72.845,117.767,1.066158524
128800,53262,,180201230402 - Willow Creek,B,93.63,0,64.93,11256.05,0,0.0052,11414.6152,1,26.835,116.4,0.602500741
128801,53262,,180201230403 - Sulphur Creek,B,93.63,1.33,238.18,20426.27,0,0.019,20759.429,1,30.168,108.3,0.643247556
128787,53262,,180201230201 - Badenaugh Canyon-Smithneck Creek,B,113.87,0,734.12,35523.08,0,0.0639,36371.1339,1,29.191,115.267,0.607199953
128786,53262,,180201230102 - Frenchman Lake-Little Last Chance Creek,B,113.87,0,0,35523.08,0,0.0635,35637.0135,1,16.588,89.567,0.538378312
128820,53262,,180201230702 - Little North Fork of Middle Fork Feather River,B,131.88,0,4.67,19745.08,0,0,19881.63,1,83.22,125.733,1.198707876
128821,53262,,180201230703 - South Branch Middle Fork Feather River,B,131.88,0,5.78,20978.47,0,0.0006,21116.1306,1,78.801,125.3,1.135114407
