STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/15/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",29.4,",,7",3.9,",,7",5,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/16/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",27.8,",,7",4.4,",,7",7.8,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/17/2015,,,,,,,,,8.4,",,7,0800",0,",,7",0,",,7",26.1,",,7",7.8,",,7",9.4,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/18/2015,,,,,,,,,3,",,7,0800",0,",,7",0,",,7",14.4,",,7",5.6,",,7",6.1,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/19/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",16.1,",,7",-1.7,",,7",,
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/20/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",16.1,",,7",-0.6,",,7",0,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/21/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",16.7,",,7",-1.1,",,7",1.7,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/22/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",17.2,",,7",-0.6,",,7",0,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/23/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",18.9,",,7",-2.2,",,7",-0.6,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/24/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",20,",,7",-1.7,",,7",0.6,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/25/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",18.9,",,7",-1.7,",,7",0,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/26/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",18.9,",,7",-3.9,",,7",-2.2,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/27/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",20,",,7",-3.9,",,7",1.7,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/28/2015,,,,,,,,,1.5,",,7,0800",0,",,7",0,",,7",15,",,7",1.7,",,7",5,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/29/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",11.7,",,7",-2.8,",,7",-2.8,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/30/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",13.3,",,7",-3.9,",,7",-3.9,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,10/31/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",18.9,",,7",-3.9,",,7",13.3,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/1/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",20.6,",,7",5,",,7",10.6,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/2/2015,,,,,,,,,32,",,7,0800",25,",,7",25,",,7",13.3,",,7",-0.6,",,7",0,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/3/2015,,,,,,,,,6.1,",,7,0800",0,",,7",0,",,7",1.7,",,7",-0.6,",,7",1.1,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/4/2015,,,,,,,,,0,"T,,7,0800",0,"T,,7",0,",,7",4.4,",,7",-3.3,",,7",-1.1,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/5/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",4.4,",,7",-7.8,",,7",-2.2,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/6/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",8.9,",,7",-6.7,",,7",0,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/7/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",10.6,",,7",-5.6,",,7",0,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/8/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",16.1,",,7",-4.4,",,7",2.8,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/9/2015,,,,,,,,,4.1,",,7,0800",13,",,7",0,",,7",11.1,",,7",-1.7,",,7",0,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/10/2015,,,,,,,,,9.7,",,7,0800",76,",,7",51,",,7",5.6,",,7",-3.3,",,7",-2.2,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/11/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",6.1,",,7",-10,",,7",-7.2,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/12/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",7.8,",,7",-8.3,",,7",-6.1,",,7,0800"
USC00047085,"PORTOLA, CA US",39.8053,-120.4719,1478.3,11/13/2015,,,,,,,,,0,",,7,0800",0,",,7",0,",,7",8.3,",,7",-7.2,",,7",-3.3,",,7,0800"
