"","county_name","total_water_use","total_groundwater","total_surface_water","mgal_day","use","source"
"1","Butte County",810.44,763.29,47.15,19.08,"public","ground"
"2","Butte County",810.44,763.29,47.15,2.94,"domestic","ground"
"3","Butte County",810.44,763.29,47.15,3.17,"industrial","ground"
"4","Butte County",810.44,763.29,47.15,0,"mining","ground"
"5","Butte County",810.44,763.29,47.15,0.13,"livestock","ground"
"6","Butte County",810.44,763.29,47.15,21.27,"aquaculture","ground"
"7","Butte County",810.44,763.29,47.15,716.43,"crop","ground"
"8","Butte County",810.44,763.29,47.15,0.27,"golf","ground"
"9","Butte County",810.44,763.29,47.15,9.73,"pubic","surface"
"10","Butte County",810.44,763.29,47.15,0.43,"domestic","surface"
"11","Butte County",810.44,763.29,47.15,0.85,"industrial","surface"
"12","Butte County",810.44,763.29,47.15,0,"mining","surface"
"13","Butte County",810.44,763.29,47.15,0.16,"livestock","surface"
"14","Butte County",810.44,763.29,47.15,0,"aquaculture","surface"
"15","Butte County",810.44,763.29,47.15,35.77,"crop","surface"
"16","Butte County",810.44,763.29,47.15,0.21,"golf","surface"
"17","Plumas County",106.93,75.48,31.45,1.59,"public","ground"
"18","Plumas County",106.93,75.48,31.45,0.17,"domestic","ground"
"19","Plumas County",106.93,75.48,31.45,1.35,"industrial","ground"
"20","Plumas County",106.93,75.48,31.45,0.11,"mining","ground"
"21","Plumas County",106.93,75.48,31.45,0.12,"livestock","ground"
"22","Plumas County",106.93,75.48,31.45,0.01,"aquaculture","ground"
"23","Plumas County",106.93,75.48,31.45,71.66,"crop","ground"
"24","Plumas County",106.93,75.48,31.45,0.47,"golf","ground"
"25","Plumas County",106.93,75.48,31.45,0.56,"pubic","surface"
"26","Plumas County",106.93,75.48,31.45,0.06,"domestic","surface"
"27","Plumas County",106.93,75.48,31.45,0,"industrial","surface"
"28","Plumas County",106.93,75.48,31.45,0.02,"mining","surface"
"29","Plumas County",106.93,75.48,31.45,0.15,"livestock","surface"
"30","Plumas County",106.93,75.48,31.45,0.01,"aquaculture","surface"
"31","Plumas County",106.93,75.48,31.45,30.04,"crop","surface"
"32","Plumas County",106.93,75.48,31.45,0.61,"golf","surface"
"33","Sierra County",24.35,17.31,7.04,0.32,"public","ground"
"34","Sierra County",24.35,17.31,7.04,0.01,"domestic","ground"
"35","Sierra County",24.35,17.31,7.04,0.45,"industrial","ground"
"36","Sierra County",24.35,17.31,7.04,0,"mining","ground"
"37","Sierra County",24.35,17.31,7.04,0.07,"livestock","ground"
"38","Sierra County",24.35,17.31,7.04,0,"aquaculture","ground"
"39","Sierra County",24.35,17.31,7.04,16.46,"crop","ground"
"40","Sierra County",24.35,17.31,7.04,0,"golf","ground"
"41","Sierra County",24.35,17.31,7.04,0.05,"pubic","surface"
"42","Sierra County",24.35,17.31,7.04,0.01,"domestic","surface"
"43","Sierra County",24.35,17.31,7.04,0,"industrial","surface"
"44","Sierra County",24.35,17.31,7.04,0,"mining","surface"
"45","Sierra County",24.35,17.31,7.04,0.08,"livestock","surface"
"46","Sierra County",24.35,17.31,7.04,0,"aquaculture","surface"
"47","Sierra County",24.35,17.31,7.04,6.9,"crop","surface"
"48","Sierra County",24.35,17.31,7.04,0,"golf","surface"
